trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
649,False,"{'a': 0.36128404182384743, 'e': 0.5225680836476948}",35,19,2.6244720127196235,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
650,False,"{'a': 0.361022888380508, 'e': 0.522045776761016}",20,0,-34.384611827604495,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
651,False,"{'a': 0.36076199596007874, 'e': 0.5215239919201575}",20,11,1.6542529631177696,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
652,False,"{'a': 0.36050136430166724, 'e': 0.5210027286033344}",25,7,-46.883629370668515,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
653,False,"{'a': 0.36024099314464164, 'e': 0.5204819862892833}",25,0,-51.48902433153243,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
654,False,"{'a': 0.3599808822286309, 'e': 0.5199617644572618}",20,2,0.6502464484117936,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
655,False,"{'a': 0.35972103129352406, 'e': 0.5194420625870482}",20,0,-68.8468703013052,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
656,False,"{'a': 0.35946144007947023, 'e': 0.5189228801589404}",25,0,-9.802479125213866,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
657,False,"{'a': 0.35920210832687804, 'e': 0.518404216653756}",25,0,-48.45615180516937,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
658,False,"{'a': 0.35894303577641573, 'e': 0.5178860715528314}",20,0,-124.83159821699351,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
659,False,"{'a': 0.35868422216901086, 'e': 0.5173684443380216}",30,18,-63.47606721154518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
660,False,"{'a': 0.3584256672458497, 'e': 0.5168513344916993}",25,0,-32.4359360404042,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",1
661,False,"{'a': 0.35816737074837723, 'e': 0.5163347414967544}",20,7,-27.563065161202438,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
662,False,"{'a': 0.35790933241829703, 'e': 0.5158186648365941}",20,0,-68.57734726449836,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
663,False,"{'a': 0.3576515519975708, 'e': 0.5153031039951417}",20,10,-16.66147473884324,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
664,False,"{'a': 0.3573940292284181, 'e': 0.5147880584568362}",20,16,5.9367889695543274,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.35713676385331594, 'e': 0.5142735277066319}",20,0,-0.43354529606396053,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
666,False,"{'a': 0.3568797556149992, 'e': 0.5137595112299984}",20,0,6.077641915260826,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
667,False,"{'a': 0.35662300425645943, 'e': 0.5132460085129188}",30,4,-14.560264284956505,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
668,False,"{'a': 0.3563665095209453, 'e': 0.5127330190418905}",20,0,8.613856467671035,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
669,False,"{'a': 0.35611027115196203, 'e': 0.512220542303924}",25,20,8.690773604504972,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.3558542888932712, 'e': 0.5117085777865424}",25,0,0.8102620227418718,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
671,False,"{'a': 0.35559856248889066, 'e': 0.5111971249777814}",20,5,-17.652784843882536,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
672,False,"{'a': 0.35534309168309397, 'e': 0.5106861833661879}",20,14,-9.130689495163452,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
673,False,"{'a': 0.35508787622041016, 'e': 0.5101757524408203}",20,5,14.325856030877585,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
674,False,"{'a': 0.3548329158456238, 'e': 0.5096658316912476}",30,17,21.38396051596689,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.35457821030377457, 'e': 0.5091564206075492}",20,1,-1.0079963966320458,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
676,False,"{'a': 0.3543237593401568, 'e': 0.5086475186803137}",25,13,-4.716063385585635,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
677,False,"{'a': 0.35406956270031964, 'e': 0.5081391254006393}",20,8,7.399159766359619,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.3538156201300664, 'e': 0.5076312402601327}",20,0,-62.231302734209486,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
679,False,"{'a': 0.35356193137545433, 'e': 0.5071238627509087}",20,4,0.8329275632535564,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
680,False,"{'a': 0.3533084961827948, 'e': 0.5066169923655897}",20,4,16.634313113177576,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.35305531429865256, 'e': 0.5061106285973052}",20,6,-67.34279116744771,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
682,False,"{'a': 0.35280238546984577, 'e': 0.5056047709396915}",20,15,2.6107106194973,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.35254970944344544, 'e': 0.5050994188868908}",30,19,-45.00064726637444,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
684,False,"{'a': 0.35229728596677556, 'e': 0.5045945719335512}",20,0,-49.81303011437054,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
685,False,"{'a': 0.35204511478741274, 'e': 0.5040902295748255}",30,14,-55.47931426791009,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
686,False,"{'a': 0.3517931956531857, 'e': 0.5035863913063714}",20,2,-84.46359464008677,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
687,False,"{'a': 0.35154152831217533, 'e': 0.5030830566243506}",20,0,-33.88919778272442,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
688,False,"{'a': 0.35129011251271425, 'e': 0.5025802250254284}",25,9,-43.07133416066769,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
689,False,"{'a': 0.35103894800338653, 'e': 0.502077896006773}",20,6,-47.684931728760546,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
690,False,"{'a': 0.35078803453302776, 'e': 0.5015760690660556}",20,1,-41.01036880457715,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 0}",1
691,False,"{'a': 0.3505373718507244, 'e': 0.5010747437014489}",20,0,-25.270045625929082,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
692,False,"{'a': 0.3502869597058138, 'e': 0.5005739194116277}",25,0,-36.719411614145464,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
693,False,"{'a': 0.3500367978478838, 'e': 0.5000735956957676}",30,0,-49.53446045669642,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
694,False,"{'a': 0.3497868860267725, 'e': 0.499573772053545}",25,0,-44.91082004098395,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
